idCampagna;impianto_id;tipo_originale;tipo_modello;zona_istat;lat;lon;formato;giorni;ots_giornalieri;ots_totali;reach_univoco;ic_low_95;ic_high_95;frequency_media;grp;copertura_pct;pct_18_34;pct_35_54;pct_55plus;avvisi
1;22163;POSTER;billboard;058091;41,95;12,46;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22164;POSTER;billboard;058091;41,95;12,53;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22165;POSTER;billboard;058091;41,95;12,53;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22166;POSTER;billboard;058091;41,95;12,55;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
1;22167;POSTER;billboard;058091;41,96;12,51;3X2;14;9.550;133.706;70.264;55.717;85.483;1,90;16,70;8,77;29,00;38,30;32,60;target=18_34
2;76969;DIGITAL;dooh;015146;45,46;9,16;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76970;DIGITAL;dooh;015146;40,56;8,31;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76971;DIGITAL;dooh;015146;41,90;12,48;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76972;DIGITAL;dooh;015146;45,44;10,99;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76973;DIGITAL;dooh;015146;45,07;7,68;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76974;DIGITAL;dooh;015146;43,77;11,25;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76975;DIGITAL;dooh;015146;43,96;10,17;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76976;DIGITAL;dooh;015146;45,47;9,20;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76977;DIGITAL;dooh;015146;41,13;9,53;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76978;DIGITAL;dooh;015146;45,43;12,33;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
2;76979;DIGITAL;dooh;015146;41,12;16,87;Negozi;14;21.473;300.626;129.534;104.955;154.056;2,32;61,10;26,31;37,20;37,80;25,00;target=18_34
3;77921;N/D;billboard;015146;45,48;9,14;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77922;N/D;billboard;015146;45,50;9,12;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77923;N/D;billboard;015146;45,50;9,11;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77924;N/D;billboard;015146;45,50;9,11;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77925;N/D;billboard;015146;45,50;9,11;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77926;N/D;billboard;015146;45,51;9,10;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77927;N/D;billboard;015146;45,47;9,14;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77928;N/D;billboard;015146;45,48;9,14;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77929;N/D;billboard;015146;45,47;9,13;100X140;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
